nombre|cantidad_operadores
Autoridad de Fiscalización del Juego|0
Cámara de Diputados|0
Agencia Estatal de Medicamentos y Tecnologías en Salud|0
Servicio General de Identificación Personal|7
Comando General de la Policía Boliviana|20
Ministerio de Justicia y Transparencia Interinstitucional|22
Ministerio Público  - Fiscalía General del Estado|138
Consejo de la Magistratura|3
Contraloría General del Estado|19
Agencia de Gobierno Electrónico y Tecnologías de la Información y Comunicación|65
Pro – Bolivia|4
Dirección del Notariado Plurinacional|0
Tribunal Supremo de Justicia|64
Centro de Investigaciones Arqueológicas, Antropológicas y Adm. de Tiwanaku|0
